Harmonized_attribute,Scorecard_attribute,Scorecard_attribute_updated,Transformation_logic,Modelled
directions_index_brand_interest,directions_strategic_measures_brand_interest_index,Brand Interest (Potential for Purchase Among Non-Buyer) - Directions,N/A,1
directions_index_brand_love,directions_strategic_measures_brand_love_index,"Brand Love (Connection to a Brand, Potential for Advocacy)- Directions",N/A,1
directions_index_brand_loyalty,directions_strategic_measures_brand_loyalty_index,Brand Loyalty (Potential for Repurchase Among Buyers) - Directions,N/A,1
directions_mean_always_seems_to_be_doing_something_new,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,Always Seems To Be Doing Something New (Mean) - Directions,N/A,1
directions_mean_controls_litter_box_odor_better_than_other_brands,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,Controls Litter Box Odor Better Than Other Brands (Mean) - Directions,N/A,1
directions_mean_costs_more_than_i_am_prepared_to_pay,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse,Costs More Than I Am Prepared To Pay (Mean Inverse) - Directions,100- Harmonized Attribute Value,1
directions_mean_creates_a_minimal_amount_of_dust_when_used,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,Creates A Minimal Amount Of Dust When Used (Mean) - Directions,N/A,1
directions_mean_creates_excitement_and_eagerness_at_mealtime,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,Creates Excitement And Eagerness At Mealtime (Mean) - Directions,N/A,1
directions_mean_creates_playful_moments_with_my_cat,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,Creates Playful Moments With My Cat (Mean) - Directions,N/A,1
directions_mean_does_not_stick_to_cat's_paws_and_get_tracked_around_my_home,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Does Not Stick To Cat's Paws And Get Tracked Around My Home (Mean) - Directions,N/A,1
directions_mean_has_a_taste_my_cat_enjoys,directions_brand_attributes_has_a_taste_my_cat_enjoys_mean,Has a taste my cat enjoys (Mean) - Directions,N/A,1
directions_mean_has_a_taste_my_dog_enjoys,directions_brand_attributes_has_a_taste_my_dog_enjoys_mean,Has a taste my dog enjoys (Mean) - Directions,N/A,1
directions_mean_has_an_appealing_package,directions_brand_attributes_has_an_appealing_package_mean,Has An Appealing Package (Mean) - Directions,N/A,1
directions_mean_has_craveable_treats_that_my_cat_comes_running_for,directions_brand_attributes_has_craveable_treats_that_my_cat_comes_running_for_mean,Has Craveable Treats That My Cat Comes Running For (Mean) - Directions,N/A,1
directions_mean_has_the_most_satisfying_and_hearty_dog_treats,directions_brand_attributes_has_the_most_satisfying_and_hearty_dog_treats_mean,Has The Most Satisfying And Hearty Dog Treats (Mean) - Directions,N/A,1
directions_mean_has_treats_i_could_feed_my_dog_everyday,directions_brand_attributes_has_treats_i_could_feed_my_dog_everyday_mean,Has Treats I Could Feed My Dog Everyday (Mean) - Directions,N/A,1
directions_mean_has_treats_that_contain_wholesome_ingredients,directions_brand_attributes_has_treats_that_contain_wholesome_ingredients_mean,Has Treats That Contain Wholesome Ingredients (Mean) - Directions,N/A,1
directions_mean_has_treats_that_have_an_appealing_package,directions_brand_attributes_has_treats_that_have_an_appealing_package_mean,Has Treats That Have An Appealing Package (Mean) - Directions,N/A,1
directions_mean_helps_me_connect_with_my_dog,directions_brand_attributes_helps_me_connect_with_my_dog_mean,Helps Me Connect With My Dog (Mean) - Directions,N/A,1
directions_mean_is_a_brand_i_do_not_trust_to_feed_to_my_pet,directions_brand_attributes_is_a_brand_i_do_not_trust_to_feed_to_my_pet_mean_inverse,Is A Brand I Do Not Trust To Feed To My Pet (Mean Inverse) - Directions,100- Harmonized Attribute Value,1
directions_mean_is_a_brand_i_do_not_trust_to_perform_well,directions_brand_attributes_is_a_brand_i_do_not_trust_to_perform_well_mean_inverse,Is A Brand I Do Not Trust To Perform Well (Mean Inverse) - Directions,100- Harmonized Attribute Value,1
directions_mean_is_a_brand_i_trust_more_than_others,directions_brand_attributes_is_a_brand_i_trust_more_than_others_mean,Is A Brand I Trust More Than Others (Mean) - Directions,N/A,1
directions_mean_is_a_brand_i_would_pay_more_for,directions_brand_attributes_is_a_brand_i_would_pay_more_for_mean,Is A Brand I Would Pay More For (Mean) - Directions,N/A,1
directions_mean_is_a_brand_that_is_gaining_in_popularity,directions_brand_attributes_is_a_brand_that_is_gaining_in_popularity_mean,Is A Brand That Is Gaining In Popularity (Mean) - Directions,N/A,1
directions_mean_is_a_very_good_value_for_the_money,directions_brand_attributes_is_a_very_good_value_for_the_money_mean,Is A Very Good Value For The Money (Mean) - Directions,N/A,1
directions_mean_is_available_in_different_forms_for_different_occasions,directions_brand_attributes_is_available_in_different_forms_for_different_occasions_mean,Is Available In Different Forms For Different Occasions (Mean) - Directions,N/A,1
directions_mean_is_designed_to_meet_my_dogâ€™s_health_needs,directions_brand_attributes_is_designed_to_meet_my_dogs_health_needs_mean,Is Designed To Meet My Dog's Health Needs (Mean) - Directions,N/A,1
directions_mean_is_easy_to_find_and_buy,directions_brand_attributes_is_easy_to_find_and_buy_mean,Is Easy To Find And Buy (Mean) - Directions,N/A,1
directions_mean_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment,directions_brand_attributes_is_made_of_ingredients_that_are_safe_for_my_home_and_the_environment_mean,Is Made Of Ingredients That Are Safe For My Home And The Environment (Mean) - Directions,N/A,1
directions_mean_is_often_available_on_promotion_or_deal,directions_brand_attributes_is_often_available_on_promotion_or_deal_mean,Is Often Available On Promotion Or Deal (Mean) - Directions,N/A,1
directions_mean_is_too_cheap_to_be_of_acceptable_quality,directions_brand_attributes_is_too_cheap_to_be_of_acceptable_quality_mean_inverse,Is Too Cheap To Be Of Acceptable Quality (Mean Inverse) - Directions,100- Harmonized Attribute Value,1
directions_mean_makes_it_easy_for_me_to_clean_my_cat's_litter_box,directions_brand_attributes_makes_it_easy_for_me_to_clean_my_cats_litter_box_mean,Makes It Easy For Me To Clean My Cat's Litter Box (Mean) - Directions,N/A,1
directions_mean_offers_a_flavor(s)_that_appeals_to_my_dog's_taste,directions_brand_attributes_offers_a_flavors_that_appeals_to_my_dogs_taste_mean,Offers A Flavor That Appeals To My Dog's Taste (Mean) - Directions,N/A,1
directions_mean_offers_litters_that_are_healthier_for_my_cat,directions_brand_attributes_offers_litters_that_are_healthier_for_my_cat_mean,Offers Litters That Are Healthier For My Cat (Mean) - Directions,N/A,1
directions_mean_offers_products_that_contain_real_natural_ingredients,directions_brand_attributes_offers_products_that_contain_real_natural_ingredients_mean,Offers Products That Contain Real Natural Ingredients (Mean) - Directions,N/A,1
directions_mean_offers_the_best_lightweight_litters,directions_brand_attributes_offers_the_best_lightweight_litters_mean,Offers The Best Lightweight Litters (Mean) - Directions,N/A,1
directions_mean_provides_all_the_variety_my_cat_wants,directions_brand_attributes_provides_all_the_variety_my_cat_wants_mean,Provides All The Variety My Cat Wants (Mean) - Directions,N/A,1
directions_mean_understands_the_relationship_between_me_and_my_cat,directions_brand_attributes_understands_the_relationship_between_me_and_my_cat_mean,Understands The Relationship Between Me And My Cat (Mean) - Directions,N/A,1
directions_mean_understands_the_relationship_between_me_and_my_dog,directions_brand_attributes_understands_the_relationship_between_me_and_my_dog_mean,Understands The Relationship Between Me And My Dog (Mean) - Directions,N/A,1
directions_net_definitely_would_buy,directions_future_purchase_intent_definitely_would_buy_net,Definitely Would Buy - Directions,N/A,1
directions_net_mentions_total_awareness,directions_awareness_total_awareness_net_mentions,Total Awareness - Directions,N/A,1
directions_net_mentions_unaided_awareness,directions_awareness_unaided_awareness_net_mentions,Unaided Awareness - Directions,N/A,1
directions_net_one_of_many_brands_i_would_consider_buying,directions_brand_consideration_one_of_many_brands_i_would_consider_buying_net,One Of Many Brands I Would Consider Buying - Directions,N/A,1
directions_net_probably_would_buy,directions_future_purchase_intent_probably_would_buy_net,Probably Would Buy - Directions,N/A,1
directions_net_the_only_brand_i_would_consider_buying,directions_brand_consideration_the_only_brand_i_would_consider_buying_net,The Only Brand I Would Consider Buying - Directions,N/A,1
directions_net_trust_brand_completely,directions_positive_brand_trust,Positive Brand Trust (Trust Completely / Very Much / Somewhat) - Directions,Sum,1
directions_net_trust_brand_somewhat,directions_positive_brand_trust,Positive Brand Trust (Trust Completely / Very Much / Somewhat) - Directions,Sum,1
directions_net_trust_brand_very_much,directions_positive_brand_trust,Positive Brand Trust (Trust Completely / Very Much / Somewhat) - Directions,Sum,1
directions_t2b_buyers_advocacy,directions_funnel_metrics_advocacy_t2b_buyers,Advocacy (Definitely / Probably Would Recommend) - Directions,N/A,1
neilsen_panel_%_2+_time_buying_households,neilsen_panel_per_2_plus_time_buying_households,2+ Purchases - Nielsen Panel,N/A,1
neilsen_panel_occasions_per_buying_household,neilsen_panel_occasions_per_buying_household,Trips - Nielsen Panel,N/A,1
neilsen_panel_value_per_buying_household,neilsen_panel_value_per_buying_household,Household Dollar Value - Nielsen Panel,N/A,1
neilsen_panel_value_per_occasion,neilsen_panel_value_per_occasion,Dollars per Trip - Nielsen Panel,N/A,1
neilsen_panel_volume_lbs_per_buying_household,neilsen_panel_volume_lbs_per_buying_household,Pounds per Household - Nielsen Panel,N/A,1
neilsen_panel_volume_lbs_per_occasion,neilsen_panel_volume_lbs_per_occasion,Pounds per Trip - Nielsen Panel,N/A,1
ratings_reviews_3_star_ratings,ratings_reviews_positive_ratings_percentage,Positive Ratings - Ratings & Reviews,Sum,1
ratings_reviews_4_star_ratings,ratings_reviews_positive_ratings_percentage,Positive Ratings - Ratings & Reviews,Sum,1
ratings_reviews_5_star_ratings,ratings_reviews_positive_ratings_percentage,Positive Ratings - Ratings & Reviews,Sum,1
ratings_reviews_count_bad_experiences,ratings_reviews_good_experience_percentage,Good Experience - Ratings & Reviews,1 - (ratings_reviews_count_bad_experiences_/ratings_reviews_review),1
ratings_reviews_review,ratings_reviews_good_experience_percentage,Good Experience - Ratings & Reviews,1 - (ratings_reviews_count_bad_experiences_/ratings_reviews_review),1
ratings_reviews_review,ratings_reviews_review_count_share,Review Count - Ratings & Reviews ,Weighted Average: At Brand x Date Level (Harmonized Attribute Value) / At Category x Date Level Sum(Harmonized Attribute Value),1
ratings_reviews_review_rating_average,ratings_reviews_review_rating_average,Average Ratings - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_average_sentiment_score,ratings_reviews_review_sentiment_score_average,Average Sentiment Score - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_health_benefits,ratings_reviews_review_sentiment_score_health_benefits,Health Benefits Sentiment Score - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_ingredients,ratings_reviews_review_sentiment_score_ingredients,Ingredients Sentiment Score - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_litter_performance,ratings_reviews_review_sentiment_score_litter_performance,Litter Performance Sentiment Score - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_pet_enjoyment,ratings_reviews_review_sentiment_score_pet_enjoyment,Pet Enjoyment Sentiment Score - Ratings & Reviews,N/A,1
ratings_reviews_sentiment_score_value_for_the_money,ratings_reviews_review_sentiment_score_value_for_the_money,Value for the Money Sentiment Score - Ratings & Reviews,N/A,1
search_searchvolume,search_searchvolume_share,Share of Search Volume - Search,Weighted Average: At Brand x Date Level (Harmonized Attribute Value) / At Category x Date Level Sum(Harmonized Attribute Value),1
social_percent_neutral,social_percent_positive_neutral,Positive / Neutral Social Buzz - Social,Sum,1
social_percent_positive,social_percent_positive_neutral,Positive / Neutral Social Buzz - Social,Sum,1
social_share_of_total_buzz_post,social_share_of_total_buzz_post,Share of Social Buzz - Social,N/A,1
directions_mean_has_treats_that_i_could_feed_my_cat_as_a_reward,directions_mean_has_treats_that_i_could_feed_my_cat_as_a_reward,,N/A,0
directions_mean_has_treats_that_motivate_my_dog_to_do_what_i_need_them_to_do,directions_mean_has_treats_that_motivate_my_dog_to_do_what_i_need_them_to_do,,N/A,0
directions_mean_helps_keep_my_dog_occupied/distracted,directions_mean_helps_keep_my_dog_occupied/distracted,,N/A,0
directions_mean_helps_prevent_future_health_problems_for_my_cat,directions_mean_helps_prevent_future_health_problems_for_my_cat,,N/A,0
directions_mean_helps_prevent_future_health_problems_for_my_dog,directions_mean_helps_prevent_future_health_problems_for_my_dog,,N/A,0
directions_mean_is_designed_to_meet_my_catÃ¢â‚¬â„¢s_unique_health_needs,directions_mean_is_designed_to_meet_my_catÃ¢â‚¬â„¢s_unique_health_needs,,N/A,0
directions_rank_1st_has_treats_that_i_could_feed_my_cat_as_a_reward,directions_rank_1st_has_treats_that_i_could_feed_my_cat_as_a_reward,,N/A,0
directions_rank_1st_has_treats_that_motivate_my_dog_to_do_what_i_need_them_to_do,directions_rank_1st_has_treats_that_motivate_my_dog_to_do_what_i_need_them_to_do,,N/A,0
directions_rank_1st_helps_keep_my_dog_occupied/distracted,directions_rank_1st_helps_keep_my_dog_occupied/distracted,,N/A,0
directions_rank_1st_helps_prevent_future_health_problems_for_my_cat,directions_rank_1st_helps_prevent_future_health_problems_for_my_cat,,N/A,0
directions_rank_1st_helps_prevent_future_health_problems_for_my_dog,directions_rank_1st_helps_prevent_future_health_problems_for_my_dog,,N/A,0
directions_rank_1st_is_designed_to_meet_my_catÃ¢â‚¬â„¢s_unique_health_needs,directions_rank_1st_is_designed_to_meet_my_catÃ¢â‚¬â„¢s_unique_health_needs,,N/A,0
directions_index_brand_distinction,directions_strategic_measures_brand_distinction_index,,N/A,0
directions_index_brand_essence,directions_strategic_measures_brand_essence_index,,N/A,0
directions_index_purchase_interest,directions_strategic_measures_purchase_interest_index,,N/A,0
directions_index_purchase_projection,directions_strategic_measures_purchase_projection_index,,N/A,0
directions_mean_brand_affinity,directions_brand_affinity_brand_affinity_mean,,N/A,0
directions_mean_gets_my_dog_most_excited,directions_brand_attributes_gets_my_dog_most_excited_mean,,N/A,0
directions_mean_has_an_appealing_appearance,directions_brand_attributes_has_an_appealing_appearance_mean,,N/A,0
directions_mean_is_a_brand_that_delivers_on_their_promises,directions_brand_attributes_is_a_brand_that_delivers_on_their_promises_mean,,N/A,0
directions_mean_is_a_brand_that_is_nutritionally_complete,directions_brand_attributes_is_a_brand_that_is_nutritionally_complete_mean,,N/A,0
directions_mean_is_available_in_the_size_i'm_looking_for,directions_brand_attributes_is_available_in_the_size_im_looking_for_mean,,N/A,0
directions_mean_is_recommended_by_experts_i_trust,directions_brand_attributes_is_recommended_by_experts_i_trust_mean,,N/A,0
directions_mean_is_something_i'm_confident_my_dog_will_eat,directions_brand_attributes_is_something_im_confident_my_dog_will_eat_mean,,N/A,0
directions_mean_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions,directions_brand_attributes_is_well_tolerated_by_my_cat_not_causing_digestive_issues_or_adverse_reactions_mean,,N/A,0
directions_mean_provides_better_nutrition_than_other_brands,directions_brand_attributes_provides_better_nutrition_than_other_brands_mean,,N/A,0
